# FACILITY: LCO
# DATE-OBS: 2019-09-05
wavelength flux
3.249875732421877274e+03 1.174569068309455622e-14
3.251613246798517594e+03 1.158669582263134601e-14
3.253350761175157913e+03 1.184444625441493509e-14
3.255088275551798233e+03 1.184444625441493509e-14
